"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R25","RS-1005","13.843mm","44.831mm","13.843mm","44.831mm","13.393mm","44.831mm","T","360.00","75"
"R24","RS-1005","41.148mm","14.351mm","41.148mm","14.351mm","41.148mm","13.901mm","T","90.00","45.3"
"R23","RS-1005","39.878mm","14.351mm","39.878mm","14.351mm","39.878mm","14.801mm","T","270.00","40.2K"
"R21","RS-1005","37.131mm","14.351mm","37.131mm","14.351mm","37.131mm","14.801mm","T","270.00","1K"
"R20","RS-1005","16.129mm","13.3235mm","16.129mm","13.3235mm","16.129mm","13.7735mm","T","270.00","0"
"R19","RS-1005","8.763mm","16.764mm","8.763mm","16.764mm","8.763mm","16.314mm","T","90.00","1K"
"R18","RS-1005","8.763mm","6.35mm","8.763mm","6.35mm","8.763mm","6.8mm","T","270.00","10K"
"L5","CDRH3D16NP","55.118mm","34.417mm","55.118mm","34.417mm","56.468mm","35.767mm","T","360.00","CDRH3D16NP-4R7N"
"L4","CDRH3D16NP","33.147mm","11.811mm","33.147mm","11.811mm","31.797mm","13.161mm","T","90.00","2.2uH"
"J9","Header_2.54_2p","47.371mm","22.0411mm","48.641mm","22.0411mm","48.641mm","22.0411mm","T","180.00","CON 2P"
"C32","CIP-5.0","6.731mm","44.1919mm","6.731mm","44.1919mm","9.271mm","44.1919mm","B","180.00","1nF/2KV"
"C16","CS-1005","38.608mm","14.351mm","38.608mm","14.351mm","38.608mm","13.901mm","T","90.00","22pF"
"BC32","CS-3216","62.484mm","32.131mm","62.484mm","32.131mm","60.884mm","32.131mm","B","360.00","4.7uF/100V"
"BC31","CS-3216","55.818mm","36.417mm","55.818mm","36.417mm","57.418mm","36.417mm","B","180.00","1uF"
"BC30","CS-1005","5.715mm","16.256mm","5.715mm","16.256mm","6.165mm","16.256mm","T","180.00","1uF"
"BC29","CS-1005","5.715mm","20.3835mm","5.715mm","20.3835mm","6.165mm","20.3835mm","T","180.00","0.1uF"
"BC17","CTS-3216","27.432mm","11.938mm","27.432mm","11.938mm","27.432mm","13.208mm","T","270.00","22uF"
"BC16","CS-3216","19.812mm","11.684mm","19.812mm","11.684mm","19.812mm","13.284mm","T","270.00","47uF"
"BC15","CS-3216","24.95mm","11.684mm","24.95mm","11.684mm","24.95mm","13.284mm","T","270.00","47uF"
"BC14","CS-3216","22.352mm","11.684mm","22.352mm","11.684mm","22.352mm","13.284mm","T","270.00","47uF"
"FB8","LS-1608","6.569mm","14.605mm","6.569mm","14.605mm","7.3311mm","14.605mm","T","180.00","600"
"MH12","VA-2.2","19.35mm","2.2mm","19.35mm","2.2mm","19.35mm","2.2mm","T","0.00","4.04pi"
"MH11","VA-2.2","2.2mm","2.2mm","2.2mm","2.2mm","2.2mm","2.2mm","T","0.00","4.04pi"
"MH10","VA-2.2","70.8mm","2.2mm","70.8mm","2.2mm","70.8mm","2.2mm","T","0.00","4.04pi"
"MH9","VA-2.2","2.2mm","25mm","2.2mm","25mm","2.2mm","25mm","T","0.00","4.04pi"
"MH8","VA-2.2","19.35mm","47.8mm","19.35mm","47.8mm","19.35mm","47.8mm","T","0.00","4.04pi"
"MH7","VA-2.2","70.8mm","47.8mm","70.8mm","47.8mm","70.8mm","47.8mm","T","0.00","4.04pi"
"MH6","VA-2.2","70.8mm","25mm","70.8mm","25mm","70.8mm","25mm","T","0.00","4.04pi"
"MH5","VA-2.2","36.5mm","2.2mm","36.5mm","2.2mm","36.5mm","2.2mm","T","0.00","4.04pi"
"MH4","VA-2.2","53.65mm","47.8mm","53.65mm","47.8mm","53.65mm","47.8mm","T","0.00","4.04pi"
"MH3","VA-2.2","2.2mm","47.8mm","2.2mm","47.8mm","2.2mm","47.8mm","T","0.00","4.04pi"
"MH2","VA-2.2","53.65mm","2.2mm","53.65mm","2.2mm","53.65mm","2.2mm","T","0.00","4.04pi"
"MH1","VA-2.2","36.5mm","47.8mm","36.5mm","47.8mm","36.5mm","47.8mm","T","0.00","4.04pi"
"J8","D-SUB_ST_PCB-MALE","37.084mm","37.338mm","37.084mm","37.338mm","42.624mm","38.758mm","B","180.00","D-SUB_ST_PCB-MALE"
"ZD1","PowerDI123","63.575mm","8.1032mm","63.575mm","8.4157mm","63.575mm","6.5657mm","T","270.00","DFLS140"
"U5","FTLF1319F1MTL","15.875mm","13.716mm","12.319mm","13.716mm","12.319mm","8.636mm","B","180.00","FTLF1319F1MTL"
"U4","TO252-5L","64.845mm","17.1787mm","64.845mm","17.1787mm","62.305mm","12.9787mm","T","360.00","XL7015E1"
"T1","HY2424S-LF","12.446mm","36.449mm","12.446mm","36.449mm","19.431mm","40.974mm","T","180.00","HY2424S-LF"
"FB7","LS-1608","68.326mm","38.227mm","68.326mm","38.227mm","67.564mm","38.227mm","B","360.00","600"
"FB6","LS-1608","13.843mm","4.572mm","13.843mm","4.572mm","13.843mm","5.334mm","B","270.00","600"
